y,t,ux
0,0,0
1,0,0.00313953
2,0,0.00626666
3,0,0.00936907
4,0,0.0124345
5,0,0.0154508
6,0,0.0184062
7,0,0.021289
8,0,0.0240877
9,0,0.0267913
10,0,0.0293893
11,0,0.0318712
12,0,0.0342274
13,0,0.0364484
14,0,0.0385257
15,0,0.0404508
16,0,0.0422164
17,0,0.0438153
18,0,0.0452414
19,0,0.0464888
20,0,0.0475528
21,0,0.0484292
22,0,0.0491144
23,0,0.0496057
24,0,0.0499013
25,0,0.05
26,0,0.0499013
27,0,0.0496057
28,0,0.0491144
29,0,0.0484292
30,0,0.0475528
31,0,0.0464888
32,0,0.0452414
33,0,0.0438153
34,0,0.0422164
35,0,0.0404508
36,0,0.0385257
37,0,0.0364484
38,0,0.0342274
39,0,0.0318712
40,0,0.0293893
41,0,0.0267913
42,0,0.0240877
43,0,0.021289
44,0,0.0184062
45,0,0.0154508
46,0,0.0124345
47,0,0.00936907
48,0,0.00626666
49,0,0.00313953
50,0,6.12323e-18
51,0,-0.00313953
52,0,-0.00626666
53,0,-0.00936907
54,0,-0.0124345
55,0,-0.0154508
56,0,-0.0184062
57,0,-0.021289
58,0,-0.0240877
59,0,-0.0267913
60,0,-0.0293893
61,0,-0.0318712
62,0,-0.0342274
63,0,-0.0364484
64,0,-0.0385257
65,0,-0.0404508
66,0,-0.0422164
67,0,-0.0438153
68,0,-0.0452414
69,0,-0.0464888
70,0,-0.0475528
71,0,-0.0484292
72,0,-0.0491144
73,0,-0.0496057
74,0,-0.0499013
75,0,-0.05
76,0,-0.0499013
77,0,-0.0496057
78,0,-0.0491144
79,0,-0.0484292
80,0,-0.0475528
81,0,-0.0464888
82,0,-0.0452414
83,0,-0.0438153
84,0,-0.0422164
85,0,-0.0404508
86,0,-0.0385257
87,0,-0.0364484
88,0,-0.0342274
89,0,-0.0318712
90,0,-0.0293893
91,0,-0.0267913
92,0,-0.0240877
93,0,-0.021289
94,0,-0.0184062
95,0,-0.0154508
96,0,-0.0124345
97,0,-0.00936907
98,0,-0.00626666
99,0,-0.00313953
0,500,-1.59595e-16
1,500,0.00225937
2,500,0.00450982
3,500,0.00674247
4,500,0.00894852
5,500,0.0111192
6,500,0.0132461
7,500,0.0153207
8,500,0.0173348
9,500,0.0192805
10,500,0.0211501
11,500,0.0229362
12,500,0.0246318
13,500,0.0262302
14,500,0.0277251
15,500,0.0291106
16,500,0.0303811
17,500,0.0315318
18,500,0.0325581
19,500,0.0334558
20,500,0.0342215
21,500,0.0348522
22,500,0.0353453
23,500,0.0356989
24,500,0.0359116
25,500,0.0359826
26,500,0.0359116
27,500,0.0356989
28,500,0.0353453
29,500,0.0348522
30,500,0.0342215
31,500,0.0334558
32,500,0.0325581
33,500,0.0315318
34,500,0.0303811
35,500,0.0291106
36,500,0.0277251
37,500,0.0262302
38,500,0.0246318
39,500,0.0229362
40,500,0.0211501
41,500,0.0192805
42,500,0.0173348
43,500,0.0153207
44,500,0.0132461
45,500,0.0111192
46,500,0.00894852
47,500,0.00674247
48,500,0.00450982
49,500,0.00225937
50,500,-6.93889e-18
51,500,-0.00225937
52,500,-0.00450982
53,500,-0.00674247
54,500,-0.00894852
55,500,-0.0111192
56,500,-0.0132461
57,500,-0.0153207
58,500,-0.0173348
59,500,-0.0192805
60,500,-0.0211501
61,500,-0.0229362
62,500,-0.0246318
63,500,-0.0262302
64,500,-0.0277251
65,500,-0.0291106
66,500,-0.0303811
67,500,-0.0315318
68,500,-0.0325581
69,500,-0.0334558
70,500,-0.0342215
71,500,-0.0348522
72,500,-0.0353453
73,500,-0.0356989
74,500,-0.0359116
75,500,-0.0359826
76,500,-0.0359116
77,500,-0.0356989
78,500,-0.0353453
79,500,-0.0348522
80,500,-0.0342215
81,500,-0.0334558
82,500,-0.0325581
83,500,-0.0315318
84,500,-0.0303811
85,500,-0.0291106
86,500,-0.0277251
87,500,-0.0262302
88,500,-0.0246318
89,500,-0.0229362
90,500,-0.0211501
91,500,-0.0192805
92,500,-0.0173348
93,500,-0.0153207
94,500,-0.0132461
95,500,-0.0111192
96,500,-0.00894852
97,500,-0.00674247
98,500,-0.00450982
99,500,-0.00225937
0,1000,-1.66533e-16
1,1000,0.00162596
2,1000,0.0032455
3,1000,0.00485224
4,1000,0.00643982
5,1000,0.00800199
6,1000,0.00953258
7,1000,0.0110255
8,1000,0.012475
9,1000,0.0138752
10,1000,0.0152207
11,1000,0.0165061
12,1000,0.0177263
13,1000,0.0188766
14,1000,0.0199524
15,1000,0.0209495
16,1000,0.0218639
17,1000,0.022692
18,1000,0.0234305
19,1000,0.0240766
20,1000,0.0246276
21,1000,0.0250814
22,1000,0.0254363
23,1000,0.0256908
24,1000,0.0258439
25,1000,0.025895
26,1000,0.0258439
27,1000,0.0256908
28,1000,0.0254363
29,1000,0.0250814
30,1000,0.0246276
31,1000,0.0240766
32,1000,0.0234305
33,1000,0.022692
34,1000,0.0218639
35,1000,0.0209495
36,1000,0.0199524
37,1000,0.0188766
38,1000,0.0177263
39,1000,0.0165061
40,1000,0.0152207
41,1000,0.0138752
42,1000,0.012475
43,1000,0.0110255
44,1000,0.00953258
45,1000,0.00800199
46,1000,0.00643982
47,1000,0.00485224
48,1000,0.0032455
49,1000,0.00162596
50,1000,-6.93889e-18
51,1000,-0.00162596
52,1000,-0.0032455
53,1000,-0.00485224
54,1000,-0.00643982
55,1000,-0.00800199
56,1000,-0.00953258
57,1000,-0.0110255
58,1000,-0.012475
59,1000,-0.0138752
60,1000,-0.0152207
61,1000,-0.0165061
62,1000,-0.0177263
63,1000,-0.0188766
64,1000,-0.0199524
65,1000,-0.0209495
66,1000,-0.0218639
67,1000,-0.022692
68,1000,-0.0234305
69,1000,-0.0240766
70,1000,-0.0246276
71,1000,-0.0250814
72,1000,-0.0254363
73,1000,-0.0256908
74,1000,-0.0258439
75,1000,-0.025895
76,1000,-0.0258439
77,1000,-0.0256908
78,1000,-0.0254363
79,1000,-0.0250814
80,1000,-0.0246276
81,1000,-0.0240766
82,1000,-0.0234305
83,1000,-0.022692
84,1000,-0.0218639
85,1000,-0.0209495
86,1000,-0.0199524
87,1000,-0.0188766
88,1000,-0.0177263
89,1000,-0.0165061
90,1000,-0.0152207
91,1000,-0.0138752
92,1000,-0.012475
93,1000,-0.0110255
94,1000,-0.00953258
95,1000,-0.00800199
96,1000,-0.00643982
97,1000,-0.00485224
98,1000,-0.0032455
99,1000,-0.00162596
0,1500,-1.66533e-16
1,1500,0.00117013
2,1500,0.00233563
3,1500,0.00349192
4,1500,0.00463443
5,1500,0.00575865
6,1500,0.00686015
7,1500,0.00793456
8,1500,0.00897767
9,1500,0.00998534
10,1500,0.0109536
11,1500,0.0118786
12,1500,0.0127568
13,1500,0.0135846
14,1500,0.0143588
15,1500,0.0150763
16,1500,0.0157344
17,1500,0.0163303
18,1500,0.0168618
19,1500,0.0173267
20,1500,0.0177233
21,1500,0.0180499
22,1500,0.0183053
23,1500,0.0184884
24,1500,0.0185986
25,1500,0.0186354
26,1500,0.0185986
27,1500,0.0184884
28,1500,0.0183053
29,1500,0.0180499
30,1500,0.0177233
31,1500,0.0173267
32,1500,0.0168618
33,1500,0.0163303
34,1500,0.0157344
35,1500,0.0150763
36,1500,0.0143588
37,1500,0.0135846
38,1500,0.0127568
39,1500,0.0118786
40,1500,0.0109536
41,1500,0.00998534
42,1500,0.00897767
43,1500,0.00793456
44,1500,0.00686015
45,1500,0.00575865
46,1500,0.00463443
47,1500,0.00349192
48,1500,0.00233563
49,1500,0.00117013
50,1500,-3.46945e-18
51,1500,-0.00117013
52,1500,-0.00233563
53,1500,-0.00349192
54,1500,-0.00463443
55,1500,-0.00575865
56,1500,-0.00686015
57,1500,-0.00793456
58,1500,-0.00897767
59,1500,-0.00998534
60,1500,-0.0109536
61,1500,-0.0118786
62,1500,-0.0127568
63,1500,-0.0135846
64,1500,-0.0143588
65,1500,-0.0150763
66,1500,-0.0157344
67,1500,-0.0163303
68,1500,-0.0168618
69,1500,-0.0173267
70,1500,-0.0177233
71,1500,-0.0180499
72,1500,-0.0183053
73,1500,-0.0184884
74,1500,-0.0185986
75,1500,-0.0186354
76,1500,-0.0185986
77,1500,-0.0184884
78,1500,-0.0183053
79,1500,-0.0180499
80,1500,-0.0177233
81,1500,-0.0173267
82,1500,-0.0168618
83,1500,-0.0163303
84,1500,-0.0157344
85,1500,-0.0150763
86,1500,-0.0143588
87,1500,-0.0135846
88,1500,-0.0127568
89,1500,-0.0118786
90,1500,-0.0109536
91,1500,-0.00998534
92,1500,-0.00897767
93,1500,-0.00793456
94,1500,-0.00686015
95,1500,-0.00575865
96,1500,-0.00463443
97,1500,-0.00349192
98,1500,-0.00233563
99,1500,-0.00117013
0,2000,-1.59595e-16
1,2000,0.000842084
2,2000,0.00168084
3,2000,0.00251297
4,2000,0.00333518
5,2000,0.00414423
6,2000,0.00493692
7,2000,0.00571013
8,2000,0.0064608
9,2000,0.00718598
10,2000,0.00788279
11,2000,0.0085485
12,2000,0.00918047
13,2000,0.0097762
14,2000,0.0103334
15,2000,0.0108497
16,2000,0.0113233
17,2000,0.0117522
18,2000,0.0121346
19,2000,0.0124692
20,2000,0.0127546
21,2000,0.0129897
22,2000,0.0131735
23,2000,0.0133053
24,2000,0.0133845
25,2000,0.013411
26,2000,0.0133845
27,2000,0.0133053
28,2000,0.0131735
29,2000,0.0129897
30,2000,0.0127546
31,2000,0.0124692
32,2000,0.0121346
33,2000,0.0117522
34,2000,0.0113233
35,2000,0.0108497
36,2000,0.0103334
37,2000,0.0097762
38,2000,0.00918047
39,2000,0.0085485
40,2000,0.00788279
41,2000,0.00718598
42,2000,0.0064608
43,2000,0.00571013
44,2000,0.00493692
45,2000,0.00414423
46,2000,0.00333518
47,2000,0.00251297
48,2000,0.00168084
49,2000,0.000842084
50,2000,-1.66533e-16
51,2000,-0.000842084
52,2000,-0.00168084
53,2000,-0.00251297
54,2000,-0.00333518
55,2000,-0.00414423
56,2000,-0.00493692
57,2000,-0.00571013
58,2000,-0.0064608
59,2000,-0.00718598
60,2000,-0.00788279
61,2000,-0.0085485
62,2000,-0.00918047
63,2000,-0.0097762
64,2000,-0.0103334
65,2000,-0.0108497
66,2000,-0.0113233
67,2000,-0.0117522
68,2000,-0.0121346
69,2000,-0.0124692
70,2000,-0.0127546
71,2000,-0.0129897
72,2000,-0.0131735
73,2000,-0.0133053
74,2000,-0.0133845
75,2000,-0.013411
76,2000,-0.0133845
77,2000,-0.0133053
78,2000,-0.0131735
79,2000,-0.0129897
80,2000,-0.0127546
81,2000,-0.0124692
82,2000,-0.0121346
83,2000,-0.0117522
84,2000,-0.0113233
85,2000,-0.0108497
86,2000,-0.0103334
87,2000,-0.0097762
88,2000,-0.00918047
89,2000,-0.0085485
90,2000,-0.00788279
91,2000,-0.00718598
92,2000,-0.0064608
93,2000,-0.00571013
94,2000,-0.00493692
95,2000,-0.00414423
96,2000,-0.00333518
97,2000,-0.00251297
98,2000,-0.00168084
99,2000,-0.000842084
0,2500,-1.66533e-16
1,2500,0.000606008
2,2500,0.00120962
3,2500,0.00180847
4,2500,0.00240017
5,2500,0.0029824
6,2500,0.00355287
7,2500,0.00410931
8,2500,0.00464953
9,2500,0.00517141
10,2500,0.00567287
11,2500,0.00615195
12,2500,0.00660675
13,2500,0.00703547
14,2500,0.00743643
15,2500,0.00780804
16,2500,0.00814883
17,2500,0.00845747
18,2500,0.00873273
19,2500,0.00897352
20,2500,0.0091789
21,2500,0.00934805
22,2500,0.00948031
23,2500,0.00957516
24,2500,0.00963222
25,2500,0.00965126
26,2500,0.00963222
27,2500,0.00957516
28,2500,0.00948031
29,2500,0.00934805
30,2500,0.0091789
31,2500,0.00897352
32,2500,0.00873273
33,2500,0.00845747
34,2500,0.00814883
35,2500,0.00780804
36,2500,0.00743643
37,2500,0.00703547
38,2500,0.00660675
39,2500,0.00615195
40,2500,0.00567287
41,2500,0.00517141
42,2500,0.00464953
43,2500,0.00410931
44,2500,0.00355287
45,2500,0.0029824
46,2500,0.00240017
47,2500,0.00180847
48,2500,0.00120962
49,2500,0.000606008
50,2500,-2.15106e-16
51,2500,-0.000606008
52,2500,-0.00120962
53,2500,-0.00180847
54,2500,-0.00240017
55,2500,-0.0029824
56,2500,-0.00355287
57,2500,-0.00410931
58,2500,-0.00464953
59,2500,-0.00517141
60,2500,-0.00567287
61,2500,-0.00615195
62,2500,-0.00660675
63,2500,-0.00703547
64,2500,-0.00743643
65,2500,-0.00780804
66,2500,-0.00814883
67,2500,-0.00845747
68,2500,-0.00873273
69,2500,-0.00897352
70,2500,-0.0091789
71,2500,-0.00934805
72,2500,-0.00948031
73,2500,-0.00957516
74,2500,-0.00963222
75,2500,-0.00965126
76,2500,-0.00963222
77,2500,-0.00957516
78,2500,-0.00948031
79,2500,-0.00934805
80,2500,-0.0091789
81,2500,-0.00897352
82,2500,-0.00873273
83,2500,-0.00845747
84,2500,-0.00814883
85,2500,-0.00780804
86,2500,-0.00743643
87,2500,-0.00703547
88,2500,-0.00660675
89,2500,-0.00615195
90,2500,-0.00567287
91,2500,-0.00517141
92,2500,-0.00464953
93,2500,-0.00410931
94,2500,-0.00355287
95,2500,-0.0029824
96,2500,-0.00240017
97,2500,-0.00180847
98,2500,-0.00120962
99,2500,-0.000606008
0,3000,-1.56125e-16
1,3000,0.000436115
2,3000,0.000870509
3,3000,0.00130147
4,3000,0.00172729
5,3000,0.0021463
6,3000,0.00255683
7,3000,0.00295727
8,3000,0.00334605
9,3000,0.00372162
10,3000,0.0040825
11,3000,0.00442726
12,3000,0.00475456
13,3000,0.00506309
14,3000,0.00535164
15,3000,0.00561907
16,3000,0.00586433
17,3000,0.00608644
18,3000,0.00628453
19,3000,0.00645782
20,3000,0.00660562
21,3000,0.00672735
22,3000,0.00682253
23,3000,0.00689079
24,3000,0.00693185
25,3000,0.00694556
26,3000,0.00693185
27,3000,0.00689079
28,3000,0.00682253
29,3000,0.00672735
30,3000,0.00660562
31,3000,0.00645782
32,3000,0.00628453
33,3000,0.00608644
34,3000,0.00586433
35,3000,0.00561907
36,3000,0.00535164
37,3000,0.00506309
38,3000,0.00475456
39,3000,0.00442726
40,3000,0.0040825
41,3000,0.00372162
42,3000,0.00334605
43,3000,0.00295727
44,3000,0.00255683
45,3000,0.0021463
46,3000,0.00172729
47,3000,0.00130147
48,3000,0.000870509
49,3000,0.000436115
50,3000,-1.73472e-16
51,3000,-0.000436115
52,3000,-0.000870509
53,3000,-0.00130147
54,3000,-0.00172729
55,3000,-0.0021463
56,3000,-0.00255683
57,3000,-0.00295727
58,3000,-0.00334605
59,3000,-0.00372162
60,3000,-0.0040825
61,3000,-0.00442726
62,3000,-0.00475456
63,3000,-0.00506309
64,3000,-0.00535164
65,3000,-0.00561907
66,3000,-0.00586433
67,3000,-0.00608644
68,3000,-0.00628453
69,3000,-0.00645782
70,3000,-0.00660562
71,3000,-0.00672735
72,3000,-0.00682253
73,3000,-0.00689079
74,3000,-0.00693185
75,3000,-0.00694556
76,3000,-0.00693185
77,3000,-0.00689079
78,3000,-0.00682253
79,3000,-0.00672735
80,3000,-0.00660562
81,3000,-0.00645782
82,3000,-0.00628453
83,3000,-0.00608644
84,3000,-0.00586433
85,3000,-0.00561907
86,3000,-0.00535164
87,3000,-0.00506309
88,3000,-0.00475456
89,3000,-0.00442726
90,3000,-0.0040825
91,3000,-0.00372162
92,3000,-0.00334605
93,3000,-0.00295727
94,3000,-0.00255683
95,3000,-0.0021463
96,3000,-0.00172729
97,3000,-0.00130147
98,3000,-0.000870509
99,3000,-0.000436115
0,3500,-1.49186e-16
1,3500,0.000313851
2,3500,0.000626464
3,3500,0.000936604
4,3500,0.00124305
5,3500,0.00154459
6,3500,0.00184003
7,3500,0.00212821
8,3500,0.00240799
9,3500,0.00267827
10,3500,0.00293798
11,3500,0.00318609
12,3500,0.00342163
13,3500,0.00364367
14,3500,0.00385132
15,3500,0.00404378
16,3500,0.00422028
17,3500,0.00438012
18,3500,0.00452268
19,3500,0.00464738
20,3500,0.00475375
21,3500,0.00484135
22,3500,0.00490985
23,3500,0.00495897
24,3500,0.00498852
25,3500,0.00499839
26,3500,0.00498852
27,3500,0.00495897
28,3500,0.00490985
29,3500,0.00484135
30,3500,0.00475375
31,3500,0.00464738
32,3500,0.00452268
33,3500,0.00438012
34,3500,0.00422028
35,3500,0.00404378
36,3500,0.00385132
37,3500,0.00364367
38,3500,0.00342163
39,3500,0.00318609
40,3500,0.00293798
41,3500,0.00267827
42,3500,0.00240799
43,3500,0.00212821
44,3500,0.00184003
45,3500,0.00154459
46,3500,0.00124305
47,3500,0.000936604
48,3500,0.000626464
49,3500,0.000313851
50,3500,-1.94289e-16
51,3500,-0.000313851
52,3500,-0.000626464
53,3500,-0.000936604
54,3500,-0.00124305
55,3500,-0.00154459
56,3500,-0.00184003
57,3500,-0.00212821
58,3500,-0.00240799
59,3500,-0.00267827
60,3500,-0.00293798
61,3500,-0.00318609
62,3500,-0.00342163
63,3500,-0.00364367
64,3500,-0.00385132
65,3500,-0.00404378
66,3500,-0.00422028
67,3500,-0.00438012
68,3500,-0.00452268
69,3500,-0.00464738
70,3500,-0.00475375
71,3500,-0.00484135
72,3500,-0.00490985
73,3500,-0.00495897
74,3500,-0.00498852
75,3500,-0.00499839
76,3500,-0.00498852
77,3500,-0.00495897
78,3500,-0.00490985
79,3500,-0.00484135
80,3500,-0.00475375
81,3500,-0.00464738
82,3500,-0.00452268
83,3500,-0.00438012
84,3500,-0.00422028
85,3500,-0.00404378
86,3500,-0.00385132
87,3500,-0.00364367
88,3500,-0.00342163
89,3500,-0.00318609
90,3500,-0.00293798
91,3500,-0.00267827
92,3500,-0.00240799
93,3500,-0.00212821
94,3500,-0.00184003
95,3500,-0.00154459
96,3500,-0.00124305
97,3500,-0.000936604
98,3500,-0.000626464
99,3500,-0.000313851
0,4000,-1.70003e-16
1,4000,0.000225864
2,4000,0.000450836
3,4000,0.00067403
4,4000,0.000894563
5,4000,0.00111157
6,4000,0.00132418
7,4000,0.00153157
8,4000,0.00173292
9,4000,0.00192742
10,4000,0.00211432
11,4000,0.00229288
12,4000,0.00246239
13,4000,0.00262217
14,4000,0.00277161
15,4000,0.00291012
16,4000,0.00303713
17,4000,0.00315216
18,4000,0.00325476
19,4000,0.0033445
20,4000,0.00342105
21,4000,0.00348409
22,4000,0.00353339
23,4000,0.00356874
24,4000,0.00359
25,4000,0.0035971
26,4000,0.00359
27,4000,0.00356874
28,4000,0.00353339
29,4000,0.00348409
30,4000,0.00342105
31,4000,0.0033445
32,4000,0.00325476
33,4000,0.00315216
34,4000,0.00303713
35,4000,0.00291012
36,4000,0.00277161
37,4000,0.00262217
38,4000,0.00246239
39,4000,0.00229288
40,4000,0.00211432
41,4000,0.00192742
42,4000,0.00173292
43,4000,0.00153157
44,4000,0.00132418
45,4000,0.00111157
46,4000,0.000894563
47,4000,0.00067403
48,4000,0.000450836
49,4000,0.000225864
50,4000,-2.18575e-16
51,4000,-0.000225864
52,4000,-0.000450836
53,4000,-0.00067403
54,4000,-0.000894563
55,4000,-0.00111157
56,4000,-0.00132418
57,4000,-0.00153157
58,4000,-0.00173292
59,4000,-0.00192742
60,4000,-0.00211432
61,4000,-0.00229288
62,4000,-0.00246239
63,4000,-0.00262217
64,4000,-0.00277161
65,4000,-0.00291012
66,4000,-0.00303713
67,4000,-0.00315216
68,4000,-0.00325476
69,4000,-0.0033445
70,4000,-0.00342105
71,4000,-0.00348409
72,4000,-0.00353339
73,4000,-0.00356874
74,4000,-0.00359
75,4000,-0.0035971
76,4000,-0.00359
77,4000,-0.00356874
78,4000,-0.00353339
79,4000,-0.00348409
80,4000,-0.00342105
81,4000,-0.0033445
82,4000,-0.00325476
83,4000,-0.00315216
84,4000,-0.00303713
85,4000,-0.00291012
86,4000,-0.00277161
87,4000,-0.00262217
88,4000,-0.00246239
89,4000,-0.00229288
90,4000,-0.00211432
91,4000,-0.00192742
92,4000,-0.00173292
93,4000,-0.00153157
94,4000,-0.00132418
95,4000,-0.00111157
96,4000,-0.000894563
97,4000,-0.00067403
98,4000,-0.000450836
99,4000,-0.000225864
